City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Pevek,RU,69.7008,170.3133,33.33,83,21,5.82,few clouds
1,Atuona,PF,-9.8,-139.0333,77.86,72,2,19.89,clear sky
2,Tuktoyaktuk,CA,69.4541,-133.0374,57.2,44,40,13.8,scattered clouds
3,Mataura,NZ,-46.1927,168.8643,36.48,92,38,2.24,scattered clouds
4,Hobart,AU,-42.8794,147.3294,43.27,94,20,5.75,few clouds
5,Hithadhoo,MV,-0.6,73.0833,81.18,76,100,10.09,light rain
6,Roald,NO,62.5833,6.1333,58.15,94,75,3.44,broken clouds
7,Nelson Bay,AU,-32.7167,152.15,51.01,93,4,12.84,clear sky
8,Basco,PH,20.4487,121.9702,85.55,74,87,12.35,overcast clouds
9,Vaini,TO,-21.2,-175.2,77.16,83,40,9.22,scattered clouds
10,Kasongo-Lunda,CD,-6.4667,16.8167,72.21,44,10,1.81,clear sky
11,Georgetown,MY,5.4112,100.3354,78.75,89,20,7.0,thunderstorm
12,Kysyl-Syr,RU,63.8986,122.7617,55.35,57,0,9.46,clear sky
13,North Bend,US,43.4065,-124.2243,66.24,77,0,11.5,clear sky
14,Port Alfred,ZA,-33.5906,26.891,53.19,79,100,1.99,overcast clouds
15,Ushuaia,AR,-54.8,-68.3,31.66,93,75,6.31,snow
16,Tasiilaq,GL,65.6145,-37.6368,36.91,95,100,2.8,overcast clouds
17,Albany,US,42.6001,-73.9662,73.24,74,96,5.84,overcast clouds
18,Butaritari,KI,3.0707,172.7902,82.42,75,23,14.09,light rain
19,Bethel,US,41.3712,-73.414,68.85,87,99,1.01,overcast clouds
20,Xining,CN,36.6167,101.7667,55.4,40,51,1.12,broken clouds
21,Puerto Ayora,EC,-0.7393,-90.3518,78.76,93,75,5.99,broken clouds
22,Jamestown,US,42.097,-79.2353,80.19,89,100,8.01,overcast clouds
23,Nanakuli,US,21.3906,-158.1547,81.1,76,100,6.91,light rain
24,New Norfolk,AU,-42.7826,147.0587,42.91,90,98,2.73,overcast clouds
25,Port Elizabeth,ZA,-33.918,25.5701,57.49,67,0,11.5,clear sky
26,Yellowknife,CA,62.456,-114.3525,54.12,76,100,10.36,light intensity shower rain
27,Thompson,CA,55.7435,-97.8558,50.16,87,100,13.8,mist
28,Upernavik,GL,72.7868,-56.1549,35.19,75,0,7.83,clear sky
29,Sabang,ID,5.8933,95.3214,82.17,76,100,12.15,overcast clouds
30,Aswan,EG,24.0934,32.907,90.7,17,0,4.61,clear sky
31,Longyearbyen,SJ,78.2186,15.6401,37.24,81,75,9.22,broken clouds
32,Hovd,MN,48.0056,91.6419,64.72,31,100,4.41,overcast clouds
33,Moussoro,TD,13.6408,16.4901,91.62,34,3,10.42,clear sky
34,Khatanga,RU,71.9667,102.5,63.97,42,100,19.75,overcast clouds
35,Monte Azul,BR,-15.155,-42.8747,68.18,35,0,4.97,clear sky
36,Klaksvik,FO,62.2266,-6.589,50.92,97,99,15.68,overcast clouds
37,Teguldet,RU,57.3064,88.1667,54.37,99,100,5.46,light rain
38,Sorland,NO,67.667,12.6934,46.26,80,100,4.45,overcast clouds
39,Rikitea,PF,-23.1203,-134.9692,72.46,66,11,3.6,few clouds
40,Asau,RO,46.4333,26.4,60.28,80,22,5.08,few clouds
41,Castro,BR,-24.7911,-50.0119,57.94,84,2,2.8,clear sky
42,Ilulissat,GL,69.2167,-51.1,44.89,54,100,12.17,overcast clouds
43,Bambous Virieux,MU,-20.3428,57.7575,72.21,83,20,9.22,few clouds
44,Gisborne,NZ,-38.6533,178.0042,58.62,65,100,5.35,overcast clouds
45,Adrar,MR,20.5022,-10.0711,95.14,9,6,10.85,clear sky
46,Tabas,IR,33.5959,56.9244,86.65,23,0,8.55,clear sky
47,Margate,GB,51.3813,1.3862,67.3,67,100,3.0,overcast clouds
48,Ucluelet,CA,48.9329,-125.5528,57.51,87,91,2.33,overcast clouds
49,Tsiroanomandidy,MG,-18.7667,46.0333,59.31,87,1,1.74,clear sky
50,Hilo,US,19.7297,-155.09,83.28,73,75,5.75,light rain
51,Harper,LR,4.375,-7.7169,76.73,87,100,10.74,light rain
52,Okhotsk,RU,59.3833,143.3,46.38,84,72,2.59,broken clouds
53,Codrington,AU,-38.2667,141.9667,47.21,93,95,6.53,overcast clouds
54,Byron Bay,AU,-28.65,153.6167,56.95,66,0,7.27,clear sky
55,Arefu,RO,45.3333,24.6,54.34,89,30,3.58,scattered clouds
56,Meulaboh,ID,4.1363,96.1285,75.83,86,100,3.24,overcast clouds
57,Kruisfontein,ZA,-34.0033,24.7314,51.89,44,79,6.93,broken clouds
58,Mount Isa,AU,-20.7333,139.5,53.37,47,0,5.75,clear sky
59,Vardo,NO,70.3705,31.1107,40.98,87,100,14.97,overcast clouds
60,Lata,PT,40.1629,-8.3327,67.82,93,19,2.53,few clouds
61,Hermanus,ZA,-34.4187,19.2345,52.81,50,55,10.13,broken clouds
62,Arman,RU,59.7,150.1667,46.02,95,100,0.16,light rain
63,Cape Town,ZA,-33.9258,18.4232,62.11,52,0,9.22,clear sky
64,Mumford,GH,5.2618,-0.759,75.07,90,100,12.24,light rain
65,Traian,RO,46.6333,27.0333,62.67,73,0,4.61,clear sky
66,Avarua,CK,-21.2078,-159.775,80.65,61,100,9.22,overcast clouds
67,Hami,CN,42.8,93.45,75.22,34,66,19.13,broken clouds
68,Kaitangata,NZ,-46.2817,169.8464,40.06,83,31,3.02,scattered clouds
69,Pilna,RU,55.5539,45.9219,53.76,88,82,4.52,broken clouds
70,Mansa,IN,29.9833,75.3833,86.88,48,61,15.03,broken clouds
71,Tarsus,TR,36.9188,34.8784,75.07,79,0,1.95,clear sky
72,Damghan,IR,36.1683,54.348,71.58,49,0,4.07,clear sky
73,Batemans Bay,AU,-35.7167,150.1833,53.1,69,86,4.0,overcast clouds
74,Seydi,TM,39.4816,62.9137,84.27,14,0,10.38,clear sky
75,Ewa Beach,US,21.3156,-158.0072,81.09,77,100,15.01,light rain
76,Seoul,KR,37.5683,126.9778,65.64,94,40,3.44,mist
77,Cidreira,BR,-30.1811,-50.2056,61.59,81,90,8.93,overcast clouds
78,Mathbaria,BD,22.2876,89.9593,82.49,81,99,13.78,light rain
79,Busselton,AU,-33.65,115.3333,65.97,70,95,22.66,overcast clouds
80,College,US,64.8569,-147.8028,72.0,53,75,5.75,broken clouds
81,Pampa,US,35.5362,-100.9599,98.56,31,0,18.41,clear sky
82,Port Hardy,CA,50.6996,-127.4199,53.78,87,75,4.61,broken clouds
83,Lompoc,US,34.6391,-120.4579,83.79,69,0,23.0,clear sky
84,Ancud,CL,-41.8697,-73.8203,43.23,76,82,11.39,broken clouds
85,Klyuchi,RU,52.2667,79.1667,56.75,82,49,7.36,scattered clouds
86,Malakal,SS,9.5334,31.6605,83.16,51,100,3.69,overcast clouds
87,Umm Lajj,SA,25.0213,37.2685,82.98,63,0,7.7,clear sky
88,Yorosso,ML,12.3536,-4.7761,82.18,59,98,10.69,overcast clouds
89,Merrill,US,45.1805,-89.6835,75.97,49,75,23.02,broken clouds
90,Bluff,NZ,-46.6,168.3333,36.81,74,39,5.44,scattered clouds
91,Rylsk,RU,51.5655,34.6822,53.4,87,24,3.49,few clouds
92,Saskylakh,RU,71.9167,114.0833,51.62,51,42,12.41,scattered clouds
93,Vaitape,PF,-16.5167,-151.75,80.26,68,0,17.25,clear sky
94,Punta Arenas,CL,-53.15,-70.9167,33.91,69,20,13.8,few clouds
95,Jawad,IN,24.6,74.85,83.62,66,8,14.72,clear sky
96,Vila Velha,BR,-20.3297,-40.2925,69.94,81,40,3.44,scattered clouds
97,Cap Malheureux,MU,-19.9842,57.6142,72.46,73,1,3.0,clear sky
98,The Valley,AI,18.217,-63.0578,84.34,70,20,13.8,few clouds
99,Chokurdakh,RU,70.6333,147.9167,48.29,54,76,10.69,broken clouds
100,Abu Dhabi,AE,24.4667,54.3667,89.71,79,0,5.75,clear sky
101,Vila Franca Do Campo,PT,37.7167,-25.4333,69.19,92,27,3.8,scattered clouds
102,Newtownards,GB,54.5924,-5.6909,63.34,84,100,8.05,overcast clouds
103,Sao Filipe,CV,14.8961,-24.4956,74.12,85,30,3.85,scattered clouds
104,Mar Del Plata,AR,-38.0023,-57.5575,49.08,82,75,3.44,broken clouds
105,Minudasht,IR,37.2289,55.3747,72.97,64,0,4.61,clear sky
106,San Patricio,US,28.017,-97.5169,97.52,42,12,17.4,few clouds
107,Cheyenne,US,41.14,-104.8203,87.94,16,0,13.8,clear sky
108,Pitimbu,BR,-7.4706,-34.8086,77.59,88,31,10.31,scattered clouds
109,Bahir Dar,ET,11.5936,37.3908,65.32,80,87,2.73,overcast clouds
110,Yulara,AU,-25.2406,130.9889,56.01,51,54,5.53,broken clouds
111,Torbay,CA,47.6666,-52.7314,59.77,71,20,8.05,few clouds
112,Jardim,BR,-21.4803,-56.1381,75.43,57,0,4.0,clear sky
113,Plouzane,FR,48.3833,-4.6167,69.85,50,0,10.36,clear sky
114,Salym,RU,60.0625,71.4789,52.63,71,98,9.62,overcast clouds
115,Palamos,ES,41.8484,3.1291,82.99,33,72,1.99,broken clouds
116,Beyneu,KZ,45.3167,55.2,81.97,21,100,8.9,overcast clouds
117,Talcahuano,CL,-36.7167,-73.1167,53.28,76,75,4.61,broken clouds
118,Yeppoon,AU,-23.1333,150.7333,58.78,75,89,6.78,overcast clouds
119,Ternate,ID,0.8,127.4,79.48,81,25,3.8,scattered clouds
120,Dingle,PH,10.9995,122.6711,77.7,85,86,4.23,overcast clouds
121,Vestmanna,FO,62.1564,-7.1664,49.12,100,100,18.41,light rain
122,Kavieng,PG,-2.5744,150.7967,82.33,74,40,14.67,scattered clouds
123,Tazovskiy,RU,67.4667,78.7,48.04,76,69,13.22,broken clouds
124,Emerald,AU,-23.5333,148.1667,57.34,55,95,11.43,overcast clouds
125,Wattegama,LK,6.7989,81.4808,74.98,83,100,4.07,overcast clouds
126,Ribeira Grande,PT,38.5167,-28.7,68.22,88,0,5.7,clear sky
127,Half Moon Bay,US,37.4636,-122.4286,77.58,65,0,21.85,clear sky
128,Tommot,RU,58.9564,126.2925,61.61,68,65,1.3,broken clouds
129,Carnarvon,AU,-24.8667,113.6333,71.24,80,87,8.9,overcast clouds
130,Tuatapere,NZ,-46.1333,167.6833,40.93,88,18,3.18,few clouds
131,Atikokan,CA,48.7555,-91.6216,60.48,77,70,14.0,broken clouds
132,Cervo,ES,43.6702,-7.4101,67.96,92,96,8.95,overcast clouds
133,Kapaa,US,22.0752,-159.319,81.12,79,20,13.8,few clouds
134,Nassjo,SE,57.6531,14.6968,52.72,85,15,2.93,few clouds
135,Stromness,GB,58.965,-3.296,55.87,88,100,8.01,overcast clouds
136,Manokwari,ID,-0.8667,134.0833,78.33,74,82,1.81,broken clouds
137,Nanortalik,GL,60.1432,-45.2371,37.78,85,26,6.38,scattered clouds
138,Pacific Grove,US,36.6177,-121.9166,81.55,68,0,15.01,clear sky
139,Kibungo,RW,-2.1597,30.5427,68.92,81,5,2.24,clear sky
140,Coquimbo,CL,-29.9533,-71.3436,56.93,88,40,12.66,scattered clouds
141,Arraial Do Cabo,BR,-22.9661,-42.0278,69.66,78,0,11.5,clear sky
142,Cherskiy,RU,68.75,161.3,52.41,37,68,7.54,broken clouds
143,Salalah,OM,17.0151,54.0924,82.69,84,42,6.11,scattered clouds
144,Lebu,CL,-37.6167,-73.65,49.14,79,46,5.14,scattered clouds
145,Kuusamo,FI,65.9667,29.1833,42.84,93,100,10.36,overcast clouds
146,Urumqi,CN,43.801,87.6005,63.55,63,0,11.18,clear sky
147,Madona,LV,56.8533,26.217,51.26,93,94,4.56,overcast clouds
148,Sande,DE,53.5049,8.0142,60.03,89,100,3.69,overcast clouds
149,Fortuna,US,40.5982,-124.1573,62.85,64,100,11.5,overcast clouds
150,Hofn,IS,64.2539,-15.2082,50.23,85,100,9.48,overcast clouds
151,Saint-Augustin,CA,51.226,-58.6502,63.46,66,87,10.83,overcast clouds
152,Miranda,CO,3.2499,-76.2281,77.13,78,36,2.08,scattered clouds
153,Oistins,BB,13.0667,-59.5333,84.29,70,40,23.02,scattered clouds
154,Borogontsy,RU,62.6683,131.1683,57.11,87,100,2.1,overcast clouds
155,Mapimi,MX,25.8167,-103.85,91.53,15,0,15.64,clear sky
